feature_name,feature_description,reasoning,classification
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.","The feature enables resharing stories with auto-expiry and logs activity for anomaly detection. No legal evidence or jurisdiction-specific requirements were found. The functionality appears driven by product strategy, such as enhancing user engagement or improving anomaly detection systems.",BusinessDriven
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,"The feature describes the introduction of a creator leaderboard updated weekly using internal analytics, stored in metadata, and tracked via an internal monitoring trigger. There is no mention of legal provisions, regulatory obligations, or jurisdiction-specific constraints. The lack of legal evidence and the focus on internal mechanisms suggest a business-driven motivation such as performance tracking or experimentation.",BusinessDriven
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,"The feature involves adjusting personalized feed recommendations based on inferred mood signals from emoji usage, which appears to be a product experimentation or optimization strategy. There is no cited legal evidence or jurisdictional alignment to suggest this is driven by regulatory requirements. The use of Baseline Behavior (BB) and ShadowMode testing further supports a business-driven motivation focused on performance improvement.",BusinessDriven
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.","The feature involves A/B testing and curated profiles for faster network building, which aligns with business motivations like experimentation and growth. No legal evidence or jurisdictional constraints were identified.",BusinessDriven
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,Original evidence insufficient; no legal citations but aligns with similar cases.,LegalRequirement
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.","The feature involves geographic restrictions aligning with the EEA, which suggests potential legal relevance. However, the Graph RAG evidence retrieved does not provide clear, specific legal provisions directly tied to video reply functionality or exposure control mechanisms. While the Digital Services Act (DSA) is mentioned, no explicit passages demonstrate a direct constraint or obligation for this feature. The lack of conclusive legal evidence and absence of strong business motivation indicators results in insufficient scoring for both LegalRequirement and BusinessDriven categories.",LegalRequirement
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,"The feature involves launching a PF variant in California, which aligns with the jurisdiction of SB 976. The bill defines 'addictive feed,' which may apply to personalized feeds, and mandates parental consent for children's access. Geographic alignment and legal provisions suggest compliance-driven constraints.",LegalRequirement
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.","Evidence is weak; lacks direct legal mapping, but jurisdictions and triggers suggest potential relevance.",LegalRequirement
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.","The feature restricts video autoplay to US users, which aligns with geographic boundaries. However, the legal evidence retrieved (18 U.S. Code § 2258A) primarily discusses reporting requirements and does not clearly mandate or constrain video autoplay functionality. While there is a jurisdiction match, no explicit legal provisions directly support this feature. The lack of clear business motivation also prevents confident classification as BusinessDriven. Thus, intent remains ambiguous.",BusinessDriven
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,"The feature involves A/B testing of a dark theme for users in South Korea, which is a product experimentation strategy. There is no legal evidence or jurisdiction-specific requirements cited. Geographic restrictions appear to be driven by rollout strategy rather than legal mandates.",BusinessDriven
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.","The feature involves age-tailored notifications and references systems like ASL and CDS, which could imply regulatory compliance or business-driven motivations. However, no legal evidence was found to confirm LegalRequirement status. Without jurisdiction-specific data or explicit legal provisions, the intent remains ambiguous.",LegalRequirement
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.","The feature mentions enforcing message content constraints using LCP rules and implies a privacy context, but there is no explicit legal evidence or jurisdictional alignment to classify it as a LegalRequirement. Similarly, while ShadowMode deployment suggests safe validation, there is insufficient clarity on whether this is driven by business motivations or legal obligations. The absence of legal citations and detected jurisdictions further complicates classification.",LegalRequirement
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,"The feature introduces video upload limits for new accounts based on internal monitoring triggers and baseline behavior patterns, stated as being partly for platform safety. However, there is no direct legal mapping or credible legal provision cited in the evidence. The motivation appears aligned with platform safety and anomaly detection, which are business-driven decisions rather than legally mandated requirements.",BusinessDriven
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",Original evidence lacks jurisdiction details but aligns with legal-centric features in similar cases.,LegalRequirement
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,"The feature description involves behavioral scoring and gating access to tools based on usage divergence, which appears motivated by operational or product strategy rather than legal requirements. No legal evidence or jurisdictional alignment was found, and the context lacks references to specific legal provisions.",BusinessDriven
Minor-safe chat expansion via Jellybean,"We're expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",Ambiguous evidence; lacks explicit legal citations or clear business intent.,LegalRequirement
Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.","The feature description mentions age-sensitive logic (ASL) and a Compliance Detection System (CDS), which could imply compliance-related intent. However, no legal evidence or jurisdiction-specific requirements were found to substantiate this as a 'LegalRequirement.' Similarly, while the feature could be business-driven, there is insufficient clarity on whether the exclusions and logging are motivated by experimentation, optimization, or other business goals. The absence of clear legal or business context necessitates human review.",LegalRequirement
Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.","The feature involves filtering content for minor accounts and applying a softblock for flagged GIFs used by ASL-flagged profiles. However, no legal evidence was found to support these actions as legally mandated. The absence of detected jurisdictions and credible legal provisions prevents classification as a LegalRequirement. Similarly, there is insufficient clarity on business motivations or product strategy to classify this as BusinessDriven. The intent remains ambiguous without further context or evidence.",LegalRequirement
Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.","The feature mentions stricter moderation for underage authors but provides no explicit legal basis or jurisdictional context. Without supporting legal evidence or clear business motivation, the intent remains ambiguous.",LegalRequirement
Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",Original evidence lacks jurisdiction matches but aligns with child protection intent.,LegalRequirement
